T,OTU,Replicate,fit_start,fit_end
40,14,R2,179.6,536.9
40,14,R3,91.3,355.2
40,14,R4,141.5,385.3
40,14,R5,75.2,494.7
40,15,R1,120.4,311.1
40,15,R2,143.5,339.2
40,15,R3,111.4,351.2
40,15,R4,74.2,333.1
40,15,R5,94.3,292
40,16,R1,89.2,525.4
40,16,R2,83.2,554.4
40,16,R3,77.2,547.4
40,16,R4,96.2,602.5
40,16,R5,72.2,411
40,17,R1,80.2,344.9
40,17,R2,86.2,411
40,17,R3,86.2,370
40,17,R4,96.2,352.9
40,17,R5,100.2,324.8
40,18,R1,75.2,412
40,18,R2,84.2,593.5
40,18,R3,86.2,589.5
40,18,R4,48.1,420.1
40,18,R5,42.1,339.9
42,1,R1,69.2,264.7
42,1,R2,82.2,237.7
42,1,R3,90.2,208.6
42,1,R4,72.2,207.6
42,1,R5,76.2,198.6
42,2,R1,59.1,239.7
42,2,R2,73.2,223.7
42,2,R3,49.1,215.7
42,2,R4,58.1,244.7
42,2,R5,75.2,207.6
42,3,R1,73.2,263.7
42,3,R2,78.2,209.6
42,3,R3,73.2,228.7
42,3,R4,69.2,208.6
42,3,R5,72.2,193.6
42,4,R1,77.2,365.2
42,4,R2,68.2,357.1
42,4,R3,57.1,330
42,4,R4,52.1,283.9
42,4,R5,81.2,262.8
42,5,R1,74.2,474.6
42,5,R2,73.2,439.4
42,5,R3,85.2,318
42,5,R4,86.2,323
42,5,R5,83.2,329
42,6,R1,62.1,476.6
42,6,R2,79.2,311
42,6,R3,87.2,342.1
42,6,R4,72.2,364.2
42,6,R5,72.2,316
42,7,R1,70.2,272.9
42,7,R2,71.2,259.8
42,7,R3,74.2,271.9
42,7,R4,76.2,277.9
42,7,R5,68.2,267.8
42,8,R1,69.2,281.9
42,8,R2,69.2,261.8
